subject_id,0,retransc,1,trial_index,2,rt,3
2,2,"and of course, asking all along they way","and of course, asking all along they way",139,139,7503.7050000101,7503.7050000101
2,2,"without knowing our their life stories are go","without knowing our their life stories are go",141,141,9992.1150000009,9992.1150000009
2,2,"studies like this are extremly rare","studies like this are extremly rare",143,143,7499.8699999996,7499.8699999996
2,2,"almost all of his fall apart over the decade","almost all of his fall apart over the decade",145,145,9991.4049999788,9991.4049999788
2,2,"because too many people drop out of the study","because too many people drop out of the study",147,147,7528.2000000007,7528.2000000007
2,2,"or funding for the research drop","or funding for the research drop",149,149,7499.7000000149,7499.7000000149
2,2,"or the researchers got distracted or they die","or the researchers got distracted or they die",151,151,10001.829999994,10001.829999994
2,2,"and nobody moves the ball further down the field","and nobody moves the ball further down the field",153,153,7512.3449999955,7512.3449999955
2,2,"but through a combination ","but through a combination ",155,155,4995.8500000066,4995.8500000066
2,2,"and the persistence of several generations of researchers","and the persistence of several generations of researchers",157,157,10010.804999998,10010.804999998
2,2,"this study have survided","this study have survided",159,159,4998.7499999988,4998.7499999988
2,2,"about sixty of our 724 men","about sixty of our 724 men",161,161,12498.875000019,12498.875000019
2,2,"are still alive, still particpate in the study","are still alive, still particpate in the study",163,163,10001.805000007,10001.805000007
2,2,"most of them in their nineties","most of them in their nineties",165,165,5009.7999999998,5009.7999999998
2,2,"and you are now begining to study more than 2000 children","and you are now begining to study more than 2000 children",167,167,12498.044999986,12498.044999986
2,2,"of this men","of this men",169,169,2508.8549999928,2508.8549999928
2,2,"and I'm the fourth director of the s","and I'm the fourth director of the s",171,171,4995.185000007,4995.185000007
2,2,"since 1938 we've track the lives of this men","since 1938 we've track the lives of this men",173,173,12502.765000012,12502.765000012
2,2,"sophmore in Harvard College","sophmore in Harvard College",175,175,12515.119999996,12515.119999996
2,2,"they all finish college during WW2","they all finish college during WW2",177,177,7500.3450000077,7500.3450000077
2,2,"and went off to serve in the wa","and went off to serve in the wa",179,179,7494.3700000003,7494.3700000003
2,2,"and the second group that we folle","and the second group that we folle",181,181,5011.2649999792,5011.2649999792
2,2,"was a group of boys from Boston poors neighbourhood","was a group of boys from Boston poors neighbourhood",183,183,9993.5699999915,9993.5699999915
2,2,"boys who were chosen for the study","boys who were chosen for the study",185,185,7490.5549999967,7490.5549999967
2,2,"specifically because they were from some of the most troubled","specifically because they were from some of the most troubled",187,187,10008.300000016,10008.300000016
2,2,"and disavantaged family in Boston in the 1930's","and disavantaged family in Boston in the 1930's",189,189,12536.010000011,12536.010000011
2,2,"many lived in tenaments, without cold water","many lived in tenaments, without cold water",191,191,12511.644999991,12511.644999991
2,2,"when they entered the study","when they entered the study",193,193,5002.0650000079,5002.0650000079
2,2,"all of this teenagers,,","all of this teenagers,,",195,195,5008.8199999882,5008.8199999882
2,2,"were interviewed, were giving medical exams","were interviewed, were giving medical exams",197,197,7501.4849999861,7501.4849999861
2,2,"we went to their homes, and interviewed","we went to their homes, and interviewed",199,199,7499.2849999981,7499.2849999981
2,2,"ant then all this teenagers grew up and walks to adult life","ant then all this teenagers grew up and walks to adult life",201,201,12510.955000005,12510.955000005
2,2,"they became factory workers, and lawyers and ","they became factory workers, and lawyers and ",203,203,12504.730000015,12504.730000015
2,2,"and doctors and one President of the United States","and doctors and one President of the United States",205,205,10041.475000005,10041.475000005
2,2,"some developp Alco","some developp Alco",207,207,4999.9749999843,4999.9749999843
2,2,"a few develop schizophren","a few develop schizophren",209,209,5002.5499999756,5002.5499999756
2,2,"some climbed the social ladder from the bottom all the way at the very top","some climbed the social ladder from the bottom all the way at the very top",211,211,12495.900000009,12495.900000009
2,2,"and some made that journey on the opposite direc","and some made that journey on the opposite direc",213,213,7509.1649999958,7509.1649999958
2,2,"the founders of this study","the founders of this study",215,215,5032.9400000046,5032.9400000046
2,2,"wouldn't imagine in their wildest dreams, that I'll ","wouldn't imagine in their wildest dreams, that I'll ",217,217,12522.499999992,12522.499999992
2,2,"75 years later, telling you that the study still cont","75 years later, telling you that the study still cont",219,219,12504.929999996,12504.929999996
2,2,"every 2 years","every 2 years",221,221,5009.0499999933,5009.0499999933
2,2,"our patients and dedicated staff reseachers calls","our patients and dedicated staff reseachers calls",223,223,10008.724999992,10008.724999992
2,2,"and ask them if we could send them more questions about their lives","and ask them if we could send them more questions about their lives",225,225,12559.375000012,12559.375000012
2,2,"many of the inner city Boston ask us","many of the inner city Boston ask us",227,227,10020.180000021,10020.180000021
2,2,"why do you still want to study me, my life in","why do you still want to study me, my life in",229,229,10014.755000011,10014.755000011
2,2,"the Harvard men, never ask that question","the Harvard men, never ask that question",231,231,7452.3399999889,7452.3399999889
2,2,"to get the clearest pictures of this live","to get the clearest pictures of this live",233,233,7490.9899999911,7490.9899999911
2,2,"we don't just send them questionnaires","we don't just send them questionnaires",235,235,7529.2699999991,7529.2699999991
2,2,"we interview them in their living room","we interview them in their living room",237,237,7477.979999996,7477.979999996
2,2,"we get their medical records from their doctors","we get their medical records from their doctors",239,239,7561.5749999997,7561.5749999997
2,2,"we drow their blodo","we drow their blodo",241,241,4986.0699999845,4986.0699999845
2,2,"we scan their brains","we scan their brains",243,243,4999.6650000103,4999.6650000103
2,2,"we talk to their children","we talk to their children",245,245,4999.840000004,4999.840000004
2,2,"we video them talking to their wives about thir deepest concerns","we video them talking to their wives about thir deepest concerns",247,247,12539.745000016,12539.745000016
2,2,"and when finally a decades ago, we ask the wives","and when finally a decades ago, we ask the wives",249,249,9964.6249999932,9964.6249999932
2,2,"if they will join us as member of the study","if they will join us as member of the study",251,251,7470.4700000002,7470.4700000002
2,2,"many of the women said you know it's about times","many of the women said you know it's about times",253,253,7493.455000018,7493.455000018
2,2,"so what have we learnes?","so what have we learnes?",255,255,4995.5149999878,4995.5149999878
2,2,"what are the lessons that come","what are the lessons that come",257,257,7633.0050000106,7633.0050000106
2,2,"from the tenth of thousands of pages that we gerenate","from the tenth of thousands of pages that we gerenate",259,259,12500.610000017,12500.610000017
2,2,"well the lessons aren't about wealth","well the lessons aren't about wealth",261,261,7509.6100000083,7509.6100000083
2,2,"or fame","or fame",263,263,2474.9899999879,2474.9899999879
2,2,"or working harder and harder","or working harder and harder",265,265,4963.4849999857,4963.4849999857
2,2,"the clearest message","the clearest message",267,267,4985.3900000162,4985.3900000162
2,2,"that we get from this 75 year study is this","that we get from this 75 year study is this",269,269,9994.6249999921,9994.6249999921
2,2,"good relationshipp keep us happier an dhealthier","good relationshipp keep us happier an dhealthier",271,271,9993.0100000056,9993.0100000056
2,2,"we've learn 3 big lessons about relationship","we've learn 3 big lessons about relationship",273,273,9976.5349999943,9976.5349999943
2,2,"is that social connections are really good for us","is that social connections are really good for us",275,275,12473.639999982,12473.639999982
2,2,"and that loneliness kills","and that loneliness kills",277,277,4970.1850000129,4970.1850000129
2,2,"it turns out that people who are more socially connecterd","it turns out that people who are more socially connecterd",279,279,9973.8450000004,9973.8450000004
2,2,"to family, to friends, to community","to family, to friends, to community",281,281,7515.1100000076,7515.1100000076
2,2,"are happpier, are physically healthier and live longer","are happpier, are physically healthier and live longer",283,283,12470.904999995,12470.904999995
2,2,"than people who are less well connected","than people who are less well connected",285,285,7502.8250000032,7502.8250000032
2,2,"and the experience of loneliness turns out to be","and the experience of loneliness turns out to be",287,287,9971.904999984,9971.904999984
2,2,"people who are more isolated than they want to be from others","people who are more isolated than they want to be from others",289,289,12563.305000018,12563.305000018
2,2,"find that they are less happy","find that they are less happy",291,291,7500.469999999,7500.469999999
2,2,"their health decline earlier in mid-l","their health decline earlier in mid-l",293,293,7501.0450000118,7501.0450000118
2,2,"their brain decline sooner and live shorter life","their brain decline sooner and live shorter life",295,295,9995.0649999955,9995.0649999955
2,2,"than people who are not lo","than people who are not lo",297,297,4988.0199999898,4988.0199999898
2,2,"and the sad fact","and the sad fact",299,299,4994.3999999959,4994.3999999959
2,2,"is that at any giving time, american will report","is that at any giving time, american will report",301,301,12497.669999982,12497.669999982
2,2,"that they're l","that they're l",303,303,2495.4349999898,2495.4349999898
2,2,"and we know that you can be lonely in a crowd and we can be lonely in a ","and we know that you can be lonely in a crowd and we can be lonely in a ",305,305,12521.040000021,12521.040000021
2,2,"so the second big lesson that we learn is","so the second big lesson that we learn is",307,307,7492.3750000016,7492.3750000016
2,2,"that it's not just about the numbers of friends you ","that it's not just about the numbers of friends you ",309,309,7483.9900000079,7483.9900000079
2,2,"and it's not wether or not you are in a committed relatio","and it's not wether or not you are in a committed relatio",311,311,9983.5549999843,9983.5549999843
2,2,"but it's the quality of your relationship that matters","but it's the quality of your relationship that matters",313,313,12500.445000012,12500.445000012
2,2,"it turns out that living in a mist of conflict is rell","it turns out that living in a mist of conflict is rell",315,315,12500.12500002,12500.12500002
2,2,"like conflict marriage for example, without much affecti","like conflict marriage for example, without much affecti",317,317,9983.3950000175,9983.3950000175
2,2,"turns out to be very bad for our health","turns out to be very bad for our health",319,319,7485.0750000041,7485.0750000041
2,2,"perhaps worst than getting di","perhaps worst than getting di",321,321,7500.6749999884,7500.6749999884
2,2,"and living in the mist of good relationship is protective","and living in the mist of good relationship is protective",323,323,12498.489999998,12498.489999998
2,2,"once we have followed our men all the way to their 8","once we have followed our men all the way to their 8",325,325,10002.05000001,10002.05000001
2,2,"we want to look back at them at their mid lif","we want to look back at them at their mid lif",327,327,7500.5700000038,7500.5700000038
2,2,"and to see if w","and to see if w",329,329,4990.4699999897,4990.4699999897
2,2,"who's gonna grow into a happy 80 o","who's gonna grow into a happy 80 o",331,331,9972.9050000021,9972.9050000021
2,2,"and who was","and who was",333,333,2506.0899999803,2506.0899999803
2,2,"and when we gathered ","and when we gathered ",335,335,4992.995000008,4992.995000008
2,2,"everything we knew about them at age 5","everything we knew about them at age 5",337,337,9974.5199999888,9974.5199999888
2,2,"it wasn't their cholesterol level that predict how they'e","it wasn't their cholesterol level that predict how they'e",339,339,12503.419999994,12503.419999994
2,2,"it was how satisfied they were in their relationsh","it was how satisfied they were in their relationsh",341,341,9997.0899999901,9997.0899999901
2,2,"the people who were the most satisfied in thei lives at age 50","the people who were the most satisfied in thei lives at age 50",343,343,12502.24999999,12502.24999999
2,2,"were healthiest at age ","were healthiest at age ",345,345,7471.0799999889,7471.0799999889
2,2,"and good close relationship","and good close relationship",347,347,7470.7449999992,7470.7449999992
2,2,"seem to buffer us getting old","seem to buffer us getting old",349,349,9995.4750000034,9995.4750000034
2,2,"our most happily partners, men and women","our most happily partners, men and women",351,351,9993.2199999746,9993.2199999746
2,2,"reported in their 80's","reported in their 80's",353,353,4997.4250000082,4997.4250000082
2,2,"that on the days they had physical pain, their moods were js","that on the days they had physical pain, their moods were js",355,355,12468.915000005,12468.915000005
2,2,"but the people who are in unhappy relationshi","but the people who are in unhappy relationshi",357,357,7499.2250000066,7499.2250000066
2,2,"on the day, they reported more physical pains","on the day, they reported more physical pains",359,359,7482.2099999874,7482.2099999874
2,2,"it was magnified by more emotional pain","it was magnified by more emotional pain",361,361,7503.1900000176,7503.1900000176
2,2,"adnt the third big lessons that we learn about relatio","adnt the third big lessons that we learn about relatio",363,363,12501.115000021,12501.115000021
2,2,"is that good relationship don't protect our bodies but our brains","is that good relationship don't protect our bodies but our brains",365,365,12492.570000002,12492.570000002
2,2,"it turns out that to be in a secure attached relationship","it turns out that to be in a secure attached relationship",367,367,12466.554999991,12466.554999991
2,2,"to another person in your 80's is protective","to another person in your 80's is protective",369,369,9948.9950000132,9948.9950000132
2,2,"but the people who are in a relationship can count on another perosn","but the people who are in a relationship can count on another perosn",371,371,12475.364999991,12475.364999991
2,2,"in times of need","in times of need",373,373,4999.8499999926,4999.8499999926
2,2,"those people memories stay sharper longer","those people memories stay sharper longer",375,375,9967.6599999946,9967.6599999946
2,2,"and the people in relationship feel they can count on the ","and the people in relationship feel they can count on the ",377,377,12501.199999999,12501.199999999
2,2,"those are the people who experiences earlier ","those are the people who experiences earlier ",379,379,9990.3199999826,9990.3199999826
2,2,"and good relationship, they don't have to be smooth all ti","and good relationship, they don't have to be smooth all ti",381,381,9998.3350000111,9998.3350000111
2,2,"a 80 couple could day and d","a 80 couple could day and d",383,383,12484.595000017,12484.595000017
2,2,"but the feel they can count on each other when the day got t","but the feel they can count on each other when the day got t",385,385,12500.274999999,12500.274999999
2,2,"those arguments didn't take a tool on their memories","those arguments didn't take a tool on their memories",387,387,10000.614999997,10000.614999997
2,2,"so, this message","so, this message",389,389,7484.0000000256,7484.0000000256
2,2,"that good close relationship are good for our health and our being","that good close relationship are good for our health and our being",391,391,14970.880000008,14970.880000008
2,2,"this is wisdom that are old as the hills","this is wisdom that are old as the hills",393,393,7539.0699999994,7539.0699999994
2,2,"why is it so hard to get and so easy to ignore","why is it so hard to get and so easy to ignore",395,395,9969.4249999882,9969.4249999882
2,2,"well, we're human, what we really like is a quic ","well, we're human, what we really like is a quic ",397,397,12485.274999985,12485.274999985
2,2,"something we can get to keep our lives in that way","something we can get to keep our lives in that way",399,399,12486.095,12486.095
2,2,"relationship are messy and complicated","relationship are messy and complicated",401,401,9980.2900000066,9980.2900000066
2,2,"the hard work attending families and friends","the hard work attending families and friends",403,403,9992.0749999871,9992.0749999871
2,2,"it's not sexy or glamou","it's not sexy or glamou",405,405,7471.5850000209,7471.5850000209
2,2,"it's also life-long, it never ends.","it's also life-long, it never ends.",407,407,7498.794999992,7498.794999992
2,2,"the people in our 75 study, who are now retirement","the people in our 75 study, who are now retirement",409,409,12499.929999991,12499.929999991
2,2,"who worked actively to replace t","who worked actively to replace t",411,411,10002.149999985,10002.149999985
2,2,"with new playmates","with new playmates",413,413,4990.5999999903,4990.5999999903
2,2,"just like the millenials in our recent survey","just like the millenials in our recent survey",415,415,7479.3650000063,7479.3650000063
2,2,"many of our men, when they were studying at as young ","many of our men, when they were studying at as young ",417,417,9977.985000005,9977.985000005
2,2,"really believed","really believed",419,419,4968.9300000025,4968.9300000025
2,2,"that fame and need, and goal achievements, was wha","that fame and need, and goal achievements, was wha",421,421,12510.204999998,12510.204999998
2,2,"to have a good life","to have a good life",423,423,4987.2149999719,4987.2149999719
2,2,"but over and over, our 75 years study as shown","but over and over, our 75 years study as shown",425,425,12489.635000005,12489.635000005
2,2,"that the people who fe","that the people who fe",427,427,4972.9100000113,4972.9100000113
2,2,"were the people who lean into relationship","were the people who lean into relationship",429,429,9994.2399999998,9994.2399999998
2,2,"with family, with friends with community","with family, with friends with community",431,431,9993.8749999856,9993.8749999856
2,2,"so what about you?","so what about you?",433,433,4972.1000000136,4972.1000000136
2,2,"let's say you are 24 and 40 or 60","let's say you are 24 and 40 or 60",435,435,9987.294999999,9987.294999999
2,2,"what that leaning to relationship loo","what that leaning to relationship loo",437,437,7483.804999996,7483.804999996
2,2,"possibilities are practically endless","possibilities are practically endless",439,439,9993.9949999973,9993.9949999973
2,2,"it might be something as simole as","it might be something as simole as",441,441,7497.1699999878,7497.1699999878
2,2,"replacing screen times with people times","replacing screen times with people times",443,443,7484.6699999762,7484.6699999762
2,2,"or laddering up the stairs of relationship by doing something ne","or laddering up the stairs of relationship by doing something ne",445,445,9993.9649999724,9993.9649999724
2,2,"long walks or date nights","long walks or date nights",447,447,7487.770000007,7487.770000007
2,2,"or reaching out to that family members who you haven't talk i","or reaching out to that family members who you haven't talk i",449,449,12472.004999989,12472.004999989
2,2,"because of that 2 common family feus","because of that 2 common family feus",451,451,7499.0950000063,7499.0950000063
2,2,"take a terrible toll on family member","take a terrible toll on family member",453,453,12494.674999995,12494.674999995
2,2,"I'd like to close with a quote from Mark Twaines","I'd like to close with a quote from Mark Twaines",455,455,9970.8450000035,9970.8450000035
2,2,"More than a century ago","More than a century ago",457,457,4967.470000003,4967.470000003
2,2,"he was looking back on his life and wrote this","he was looking back on his life and wrote this",459,459,9972.2149999873,9972.2149999873
2,2,"""There isn't time so grief as life","""There isn't time so grief as life",461,461,9970.284999989,9970.284999989
2,2,"for pickerings","for pickerings",463,463,4970.3399999999,4970.3399999999
2,2,"apologies, hard calling,","apologies, hard calling,",465,465,9986.4149999926,9986.4149999926
2,2,"There is only time for loving, and ","There is only time for loving, and ",467,467,12482.325000019,12482.325000019
2,2,"for that, a good life is built with good relationship""","for that, a good life is built with good relationship""",469,469,17495.23999999,17495.23999999
