,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
20,R,H,H,Q,Q,L,R,C,B,B,D,W,G,X,T,T,J,J,V,V,N,P,P,Z,Z,S,K,K,F,M,M,H,Q,Q,L,R,C,B,B,D,L,W
21,R,J,X,V,P,R,R,W,Z,F,F,B,M,M,T,K,N,N,G,G,L,L,S,D,D,H,H,C,C,Q,J,J,X,V,P,R,R,W,Z,Z,N,F
22,T,M,V,V,N,N,P,P,J,G,S,S,D,F,C,Q,W,W,T,Z,R,H,L,L,K,X,X,B,B,M,V,V,N,P,J,J,G,G,S,S,L,D
23,S,V,S,B,B,G,X,X,F,Z,Z,H,M,R,L,W,W,J,J,P,P,N,T,T,D,K,C,C,Q,Q,V,S,S,B,G,G,X,F,Z,H,D,H
24,P,C,B,S,H,N,P,P,L,L,G,T,J,V,V,K,Z,Z,D,D,M,M,R,Q,Q,X,F,F,W,W,C,C,B,S,H,N,P,P,L,G,Q,G
25,B,T,T,N,N,J,J,M,B,B,K,K,H,Q,P,P,V,V,R,L,L,Z,Z,C,W,X,G,D,S,F,T,T,N,J,J,M,B,K,H,H,C,Q
26,S,L,L,H,B,B,M,G,Z,Z,W,D,D,V,C,S,S,Q,J,R,R,N,N,F,F,X,K,P,T,L,L,H,H,B,M,G,Z,Z,W,W,S,D
27,C,Q,Q,H,C,L,L,P,T,B,B,V,N,N,D,R,Z,X,X,W,S,S,K,K,M,J,F,G,Q,H,H,C,C,L,L,P,T,B,B,V,R,V
28,H,B,V,V,J,Q,Q,X,X,F,K,M,W,W,D,D,R,P,G,C,C,Z,Z,S,L,L,T,H,N,B,V,V,J,J,Q,X,F,K,K,M,N,M
29,J,X,V,V,S,J,H,H,R,D,D,W,Q,Q,M,M,P,P,T,T,N,B,G,K,F,F,C,C,L,Z,Z,X,V,S,J,H,H,R,R,D,J,W
30,P,J,J,G,G,L,L,Q,Q,F,D,D,N,N,T,Z,R,H,B,W,W,V,S,C,K,K,P,M,M,X,J,G,L,L,Q,Q,F,F,D,N,N,T
31,T,F,G,G,N,D,D,T,P,P,X,S,V,V,B,C,Q,W,W,M,M,H,K,Z,Z,L,L,J,J,R,F,G,N,D,T,T,P,X,X,S,L,S
32,Q,J,J,V,L,L,N,Z,S,Q,T,H,R,R,B,B,D,C,F,F,W,K,K,M,P,X,X,G,G,J,V,V,L,L,N,N,Z,Z,S,Q,N,T
33,Z,P,P,V,L,L,Q,Q,D,T,T,S,S,W,W,B,J,K,R,X,X,C,C,H,G,Z,F,N,N,M,M,P,P,V,L,Q,D,T,T,S,P,W
34,T,L,R,R,J,J,W,W,B,B,G,G,X,V,V,T,C,M,P,P,Z,K,S,S,F,N,N,Q,H,D,D,L,R,J,W,B,G,G,X,X,C,V
35,H,N,B,T,L,L,V,S,S,W,J,D,D,P,H,M,G,C,F,F,R,K,X,X,Q,Z,Z,N,N,B,B,T,T,L,V,V,S,W,W,J,L,J
36,Q,X,X,P,P,N,F,F,D,D,R,R,M,T,W,B,L,L,K,H,H,G,Z,V,C,S,S,Q,J,X,X,P,N,N,F,D,R,R,M,M,L,T
37,D,R,R,N,N,V,B,B,F,W,L,Q,M,M,H,T,X,X,K,K,S,J,P,Z,Z,G,C,D,R,N,N,V,B,B,F,F,W,W,L,L,R,Q
38,B,M,T,T,X,X,B,W,W,H,G,F,V,V,C,Q,Q,J,J,K,R,Z,P,P,D,L,S,S,N,M,M,T,X,B,B,W,W,H,G,G,N,F
39,X,C,V,G,L,B,T,T,H,X,Q,Q,W,W,K,S,S,Z,J,J,P,N,R,R,F,F,M,M,D,C,C,V,V,G,L,L,B,T,H,H,D,X
40,P,Q,X,X,M,Z,L,L,J,J,V,P,P,C,D,K,S,S,F,F,H,H,R,N,W,W,B,T,G,Q,X,X,M,M,Z,L,J,J,V,P,J,P
41,L,W,N,N,K,X,X,B,B,R,L,L,G,G,Z,D,D,F,S,Q,Q,V,M,P,P,T,T,H,H,C,J,W,N,K,K,X,B,R,L,L,D,G
42,H,Z,H,H,X,N,V,V,T,C,C,J,S,S,M,F,P,R,R,L,L,W,B,Q,Q,D,G,G,K,Z,H,H,X,N,V,V,T,T,C,C,P,J
43,C,K,J,Q,P,R,R,C,C,D,W,W,F,F,N,Z,L,L,S,S,G,H,B,V,T,T,M,M,X,K,J,J,Q,P,P,R,R,C,D,D,P,W
44,V,Q,Q,T,T,X,W,W,B,G,G,C,H,N,S,L,J,J,R,R,M,V,P,D,Z,K,F,F,Q,Q,T,X,X,W,B,B,G,G,C,H,N,H
45,Z,X,X,R,R,D,D,N,Z,W,B,L,G,T,T,J,J,S,S,Q,F,V,H,K,C,P,M,M,X,X,R,D,D,N,N,Z,Z,W,B,L,G,L
46,J,P,N,N,Z,H,G,S,M,D,D,R,R,T,T,X,L,L,F,V,B,K,K,Q,Q,C,C,W,J,J,P,P,N,Z,H,G,G,S,S,M,P,D
47,J,L,J,J,M,Q,T,H,R,R,X,N,N,G,G,Z,W,C,C,K,P,P,D,V,V,F,S,S,B,L,L,J,M,M,Q,T,T,H,H,R,P,X
48,P,V,P,P,D,F,B,B,C,C,J,G,G,T,K,S,S,R,H,L,M,M,W,N,N,Z,X,Q,Q,V,V,P,D,F,F,B,B,C,C,J,B,G
49,C,X,H,H,R,R,S,T,L,L,Q,Q,W,J,Z,N,N,K,B,C,C,V,F,F,D,D,M,G,P,X,H,R,R,S,T,T,L,L,Q,W,Z,W
50,H,K,L,L,X,S,J,Z,H,G,W,W,B,B,N,N,C,C,Q,Q,P,P,F,F,T,R,R,M,D,V,V,K,K,L,L,X,S,J,Z,H,S,G
51,D,Z,M,M,C,N,X,B,B,J,Q,W,W,V,R,D,P,F,F,G,L,T,S,S,K,K,H,H,Z,Z,M,M,C,C,N,X,X,B,B,J,D,Q
52,Z,S,Z,Z,V,V,L,X,X,C,C,B,R,H,H,N,Q,K,M,D,P,P,F,W,J,G,T,S,Z,Z,V,V,L,L,X,C,C,B,B,R,S,R
53,X,N,N,X,V,R,C,C,L,M,P,P,W,S,S,G,F,B,D,D,H,H,Q,K,K,J,T,Z,N,N,X,X,V,V,R,C,C,L,M,M,Z,P
54,N,T,T,D,D,G,G,K,K,S,S,Z,R,J,C,C,F,X,N,N,W,B,P,P,H,M,L,Q,Q,V,V,T,D,G,K,K,S,S,Z,R,B,J
55,Z,R,R,W,W,M,M,C,C,F,F,T,G,G,Z,Z,S,X,X,B,N,L,L,Q,J,K,P,D,D,V,H,R,W,M,M,C,F,T,G,G,G,Z
56,R,S,R,R,F,X,J,P,Z,Z,M,M,K,Q,C,C,G,G,L,H,H,D,D,T,T,V,N,W,W,B,S,R,R,F,X,X,J,J,P,Z,Q,M
57,S,R,N,N,W,V,J,L,L,Q,T,C,C,B,S,P,X,X,Z,F,F,M,M,D,D,G,G,K,K,H,H,R,N,N,W,W,V,J,L,Q,F,T
58,H,J,G,G,D,C,R,R,H,P,P,L,Q,F,V,V,B,B,K,W,W,S,N,Z,T,T,X,M,M,J,J,G,D,C,R,R,H,H,P,P,B,L
59,L,P,B,B,J,C,K,R,R,F,F,G,V,M,M,S,S,L,L,Z,N,N,X,X,W,Q,H,H,T,T,D,P,B,J,C,K,R,R,F,F,N,G
60,B,V,P,P,C,C,J,J,Q,M,M,X,L,L,Z,F,R,R,H,K,N,D,D,B,B,T,G,W,S,S,V,P,P,C,J,Q,Q,M,X,X,G,L
61,C,S,B,C,G,G,V,V,K,K,Q,Q,P,M,M,R,J,J,D,D,Z,F,W,W,H,X,T,N,N,L,L,S,B,C,G,G,V,K,Q,P,L,P
62,M,R,Q,L,L,P,G,S,S,D,W,H,H,C,C,X,F,V,V,M,M,B,B,K,K,T,T,Z,N,N,J,R,Q,Q,L,P,P,G,S,D,R,W
63,M,Q,M,L,L,Z,P,C,D,B,B,V,F,F,R,X,X,G,W,W,S,H,H,N,T,T,J,K,K,Q,Q,M,L,Z,P,C,C,D,D,B,P,B
64,R,Q,K,M,M,F,F,V,N,N,H,H,S,S,B,T,R,R,C,G,G,X,X,P,W,Z,L,J,D,D,Q,K,M,M,F,F,V,N,H,S,M,S
65,T,Q,Q,R,R,X,D,Z,F,H,T,V,C,B,M,M,L,P,P,N,N,K,K,S,S,W,W,G,J,Q,Q,R,X,D,Z,Z,F,F,H,H,H,T
66,P,W,V,X,S,S,Z,Z,P,F,Q,Q,L,K,K,B,B,N,R,R,G,T,M,J,D,D,H,H,C,W,V,V,X,S,Z,P,P,F,F,Q,Z,Q
67,V,F,F,H,Q,T,T,X,G,R,R,J,J,W,Z,N,N,C,C,V,V,P,D,D,S,B,B,M,L,L,K,F,H,Q,T,X,X,G,R,R,M,J
68,M,X,Z,Z,P,K,J,J,Q,F,F,N,R,L,L,V,V,W,W,H,H,D,S,S,T,C,C,B,G,M,M,X,Z,P,P,K,K,J,Q,F,C,N
69,L,D,K,T,T,Q,Q,Z,Z,P,P,B,N,L,L,X,S,S,V,V,W,F,R,C,H,M,M,J,G,G,D,D,K,T,Q,Z,Z,P,B,B,L,N
70,S,L,G,M,M,F,F,N,N,P,P,D,D,Q,V,V,H,R,R,T,T,K,K,C,C,B,W,W,X,X,J,Z,S,L,G,M,F,N,P,D,J,Q
71,M,F,G,G,Z,R,B,B,C,H,Q,N,N,P,K,K,X,X,S,J,L,W,V,D,T,M,M,F,G,G,Z,Z,R,B,B,C,C,H,H,Q,S,Q
72,W,R,Q,Q,P,F,F,B,T,T,N,N,D,S,S,K,K,Z,Z,G,L,L,W,W,V,H,X,J,J,C,M,M,R,Q,Q,P,F,B,T,N,M,D
73,D,Q,V,K,K,R,R,M,T,J,J,B,B,G,S,P,F,N,N,D,W,W,Z,Z,C,H,H,L,X,Q,V,V,K,K,R,R,M,M,T,J,M,B
74,G,K,K,P,P,D,Q,Q,X,M,N,N,Z,Z,L,L,W,W,V,B,C,H,T,G,F,F,R,R,S,J,J,K,P,D,D,Q,Q,X,M,N,Q,Z
75,D,G,G,T,X,D,N,H,R,L,L,S,S,F,F,B,Z,Z,J,J,W,P,K,K,V,Q,Q,C,M,G,T,T,X,D,D,N,N,H,R,R,H,L
76,N,M,Q,Q,S,Z,B,C,C,X,X,G,J,J,T,T,P,H,H,R,R,F,W,N,N,L,V,V,K,D,D,M,Q,S,S,Z,B,C,X,X,Q,G
77,T,D,D,G,G,W,N,Q,K,V,M,F,F,J,S,S,C,C,Z,L,T,R,H,H,X,X,B,B,P,P,D,G,G,W,W,N,Q,Q,K,V,Z,M
78,R,P,P,W,W,F,F,S,C,G,J,R,R,D,Q,Q,K,K,V,L,X,M,M,H,B,T,T,N,Z,P,P,W,F,F,S,C,C,G,J,R,F,R
79,P,B,B,Z,X,Q,Q,C,N,L,L,R,R,F,K,M,J,D,W,W,H,P,P,V,V,T,G,S,B,Z,Z,X,X,Q,Q,C,N,L,L,R,V,R
80,Z,B,B,D,D,Z,J,J,N,W,W,V,X,M,M,G,H,Q,T,T,C,C,P,F,L,R,R,S,S,K,B,D,Z,Z,J,N,N,W,V,V,N,X
81,X,B,Z,Z,W,G,D,D,T,Q,Q,P,C,F,F,M,S,V,V,N,N,X,H,L,J,K,K,R,B,B,Z,W,W,G,D,D,T,T,Q,P,H,P
82,F,L,V,Z,M,K,C,J,J,W,W,X,R,R,B,N,Q,T,P,P,H,H,D,G,F,F,S,L,L,V,V,Z,M,M,K,K,C,C,J,W,T,W
83,Z,P,J,J,R,H,D,Q,Q,L,L,S,X,W,W,Z,Z,G,G,M,T,T,N,N,C,K,K,F,B,V,V,P,J,R,H,D,D,Q,L,S,X,S
84,Q,P,C,C,J,L,L,R,F,Q,M,H,D,D,N,K,G,B,V,T,T,Z,Z,S,S,W,X,P,P,C,C,J,L,R,R,F,F,Q,Q,M,X,M
85,X,P,P,G,X,W,W,J,L,L,V,N,N,B,B,R,R,H,F,Z,Z,T,T,Q,D,K,M,S,C,C,P,G,X,X,W,W,J,L,V,N,G,N
86,S,T,T,G,B,B,M,H,D,D,N,L,P,P,C,J,J,F,F,Q,S,X,W,W,Z,R,V,K,T,G,B,B,M,H,H,D,D,N,N,L,R,L
87,B,C,B,R,X,X,W,K,K,P,Z,H,V,V,F,Q,Q,M,N,N,G,D,L,J,J,S,T,T,C,B,R,R,X,X,W,W,K,K,P,P,D,Z
88,N,R,L,T,W,W,H,H,G,G,P,P,M,Z,V,V,Q,Q,D,C,N,K,K,X,S,S,J,F,B,B,R,L,T,T,W,W,H,G,G,P,K,M
89,L,T,T,P,P,X,F,F,J,Z,V,N,N,C,D,G,W,S,R,R,K,Q,Q,L,H,H,M,M,B,T,T,P,P,X,F,J,J,Z,V,N,D,N
90,K,X,X,B,M,M,N,R,V,V,W,T,C,G,G,D,H,J,J,L,K,P,F,Z,Q,Q,S,S,X,B,B,M,M,N,N,R,V,W,W,T,N,T
91,H,D,R,M,M,W,G,S,S,C,C,K,P,P,X,F,L,L,H,H,Q,N,V,V,T,B,Z,J,J,D,D,R,M,W,G,S,S,C,C,K,Z,K
92,M,T,R,R,S,S,D,D,N,K,H,H,L,W,B,V,J,C,C,F,F,Q,Z,M,M,G,P,P,X,T,T,R,S,S,D,N,K,K,H,H,S,L
93,S,P,V,V,H,B,D,G,M,N,N,J,F,K,K,Q,Q,L,L,S,S,W,W,Z,X,R,T,T,C,P,V,H,H,B,B,D,G,M,M,N,D,N
94,N,L,T,T,W,W,P,P,B,M,M,Q,S,Z,Z,J,K,K,C,C,D,D,H,G,G,X,N,V,R,F,L,T,W,P,B,B,M,Q,Q,S,V,S
95,B,C,C,F,H,H,R,R,G,G,D,D,V,W,S,S,P,J,K,K,T,X,L,L,M,M,Z,Z,Q,N,B,C,F,H,R,R,G,D,V,V,F,W
96,Z,G,G,L,S,C,K,K,Q,W,W,T,N,N,F,B,B,D,H,H,X,X,J,J,P,R,M,M,V,Z,Z,G,L,L,S,C,K,Q,W,W,X,T
97,T,X,S,S,V,C,C,Q,Q,P,P,H,H,D,D,G,G,W,W,T,J,B,B,F,K,K,L,L,M,Z,N,R,X,S,V,V,C,Q,P,H,B,D
98,J,F,F,Z,V,D,D,J,H,H,T,K,K,X,C,S,S,W,G,B,L,L,M,M,Q,Q,R,P,N,F,F,Z,V,D,D,J,H,H,T,T,L,K
99,T,R,S,S,K,J,W,B,M,C,C,X,X,T,T,F,F,H,L,L,P,P,V,N,Q,Q,D,G,Z,Z,R,S,K,J,J,W,B,M,M,C,K,C
100,G,P,P,F,F,T,T,L,Q,Q,C,Z,J,J,G,S,D,D,N,M,H,H,B,W,W,K,X,R,V,V,P,F,F,T,L,L,Q,Q,C,Z,B,J
101,L,G,G,K,H,H,B,R,R,Z,D,D,J,L,V,V,W,C,C,P,Q,X,X,T,N,N,M,S,F,F,G,K,H,H,B,R,R,Z,Z,D,T,J
102,S,F,F,X,D,D,P,M,G,Z,K,L,L,Q,C,H,H,J,V,V,N,T,T,W,B,B,R,S,F,F,X,X,D,D,P,P,M,G,G,Z,N,K
103,J,C,C,J,N,H,X,M,M,P,P,F,F,T,Q,W,W,Z,Z,B,B,V,V,D,R,R,S,S,L,K,K,G,G,C,J,N,H,X,M,P,Q,F
104,J,T,W,V,Z,Z,N,C,P,P,Q,D,X,X,R,K,K,F,G,G,M,M,B,B,S,J,J,H,L,L,T,W,V,Z,Z,N,C,C,P,P,W,Q
105,B,Z,F,F,G,T,T,L,N,H,J,P,B,V,V,D,D,X,M,Q,W,C,S,S,K,K,R,Z,Z,F,F,G,G,T,L,L,N,N,H,J,Q,J
106,P,B,B,W,G,N,N,L,L,J,R,R,X,K,H,S,S,Z,P,P,Q,D,D,M,V,V,C,T,T,F,B,W,W,G,N,N,L,J,R,X,G,X
107,C,B,M,M,L,C,C,H,N,X,X,R,R,J,J,T,P,P,D,Z,G,G,Q,Q,W,K,V,F,S,S,B,B,M,L,L,C,H,N,N,X,G,R
108,N,J,J,C,C,P,Z,Z,B,R,M,S,S,F,V,X,X,N,T,T,Q,G,G,L,H,W,D,D,K,J,J,C,C,P,Z,Z,B,B,R,M,W,S
109,C,R,R,N,N,M,L,L,H,B,J,J,S,K,F,F,X,Z,Z,C,C,G,D,V,P,Q,Q,T,W,W,R,N,M,L,L,H,B,B,J,J,G,S
110,Q,G,H,K,K,T,T,P,F,L,L,M,W,W,B,B,Z,Z,X,Q,N,N,D,C,R,J,S,S,V,G,H,K,K,T,P,P,F,L,L,M,J,M
111,X,L,L,Q,Q,K,M,M,W,T,T,J,J,G,N,R,R,Z,F,F,D,S,P,P,B,C,V,H,X,L,L,Q,Q,K,M,W,W,T,T,J,S,G
112,R,X,V,S,P,P,N,N,Z,Z,B,D,L,W,W,R,Q,T,K,K,M,J,J,F,F,H,C,C,G,X,X,V,S,P,P,N,N,Z,B,D,K,D
113,M,Z,C,X,X,H,J,J,K,R,V,S,T,B,W,W,F,F,Q,Q,N,L,L,P,P,G,G,D,M,Z,C,C,X,H,H,J,J,K,R,V,F,V
114,B,P,T,T,J,B,X,X,H,K,R,R,F,L,L,Z,D,D,N,N,S,S,M,W,Q,Q,G,C,V,V,P,T,J,J,B,X,X,H,K,K,J,R
115,Z,F,G,G,K,R,H,V,V,J,J,W,Q,S,S,N,X,D,B,M,P,P,Z,Z,C,C,T,L,L,F,G,K,R,R,H,H,V,J,J,W,L,W
116,Z,H,L,R,T,T,M,B,B,P,D,F,F,S,S,Z,Z,W,C,J,Q,X,X,N,K,V,V,G,H,H,L,L,R,R,T,T,M,B,P,D,F,D
117,K,L,L,K,B,C,C,T,S,S,D,M,H,R,R,P,P,Q,Q,V,W,N,N,J,Z,F,F,G,G,X,L,K,B,C,T,S,S,D,D,M,L,M
118,K,B,X,N,N,Q,Q,M,M,D,D,J,J,S,S,H,C,C,R,P,T,G,V,K,K,W,Z,Z,F,F,L,B,X,N,Q,M,M,D,J,S,H,S
119,B,Q,Q,B,K,K,G,Z,S,L,L,X,X,M,F,F,R,C,P,J,T,W,W,V,H,N,N,D,Q,Q,B,B,K,K,G,G,Z,Z,S,L,T,X
120,N,C,C,J,J,H,M,M,G,F,Q,Z,Z,B,X,V,V,P,T,R,W,W,N,S,K,K,L,D,C,C,J,J,H,M,M,G,G,F,Q,Z,X,Z
121,S,T,B,B,N,K,M,M,L,L,Q,Q,G,G,P,P,H,F,F,W,W,C,J,R,X,Z,Z,S,D,D,V,T,B,N,N,K,M,L,Q,Q,B,G
122,D,F,S,D,R,R,C,W,B,B,P,P,K,H,X,M,M,Z,J,J,N,N,T,T,G,G,Q,L,L,V,V,F,S,D,D,R,C,W,B,P,F,P
123,B,F,F,W,V,V,K,R,B,N,D,H,P,Q,Q,X,X,G,G,L,L,C,C,M,T,T,Z,J,S,F,F,W,V,K,R,B,B,N,N,D,T,D
124,F,L,L,V,W,T,J,K,K,C,B,B,M,Z,S,N,N,X,X,D,D,P,H,H,R,F,F,Q,G,L,L,V,W,T,T,J,J,K,K,C,C,B
125,C,B,Q,M,M,D,S,W,W,C,C,R,G,N,P,X,X,J,J,L,H,V,V,F,T,K,K,Z,Z,B,Q,Q,M,D,D,S,W,C,C,R,G,R
126,Z,Q,Q,T,D,D,W,F,F,K,X,X,M,M,B,S,N,V,P,P,G,G,J,J,L,R,H,H,C,Z,Q,T,D,D,W,W,F,K,X,X,W,M
127,L,F,F,X,W,W,S,C,Q,Q,V,K,N,B,L,Z,G,T,J,J,R,D,H,M,M,P,P,F,F,X,W,S,S,C,C,Q,Q,V,V,K,X,K
128,V,H,B,L,F,F,J,J,R,P,Q,M,G,C,V,T,N,D,D,X,K,K,Z,W,W,S,S,H,H,B,B,L,L,F,F,J,R,P,P,Q,T,Q
129,T,S,S,J,G,G,M,Q,P,P,D,B,B,N,R,X,X,H,H,Z,Z,V,C,C,L,F,W,W,K,T,S,J,J,G,G,M,Q,P,D,D,W,B
130,M,Z,Z,S,S,M,W,V,V,P,P,K,J,J,L,L,T,X,H,H,N,Q,C,F,D,D,G,R,R,B,Z,S,S,M,W,W,V,V,P,K,R,J
131,D,J,W,W,B,B,R,Z,S,S,M,M,X,X,H,H,F,F,C,T,G,N,L,P,D,D,K,Q,V,V,J,W,B,B,R,Z,Z,S,S,M,T,X
132,C,M,P,W,W,N,H,H,V,K,K,R,X,X,G,G,L,L,B,D,D,Z,S,J,J,F,F,Q,T,C,M,P,W,W,N,H,V,K,K,R,M,R
133,P,Q,Q,B,B,H,C,M,M,L,F,F,P,P,D,T,Z,Z,X,N,J,S,S,K,V,G,R,R,W,Q,Q,B,H,H,C,C,M,L,L,F,L,P
134,K,R,P,P,V,K,Q,T,B,B,N,N,G,C,S,S,Z,Z,J,L,H,D,F,F,X,M,M,W,W,R,P,P,V,K,Q,Q,T,B,B,N,R,N
135,K,G,S,S,D,D,X,P,F,F,B,H,J,R,R,L,V,V,C,Q,T,T,N,N,K,M,M,Z,Z,W,G,S,D,X,X,P,F,F,B,B,C,H
136,K,J,J,V,V,W,W,G,R,Z,N,N,P,P,D,D,T,X,B,M,M,F,C,C,L,K,S,H,H,Q,J,V,W,W,G,R,R,Z,Z,N,V,P
137,V,Q,Q,W,W,T,L,L,P,M,H,H,N,N,J,J,B,S,D,X,F,Z,Z,K,C,C,G,R,V,Q,W,W,T,T,L,P,P,M,H,N,Q,N
138,Q,G,G,P,H,H,D,D,C,K,K,F,B,V,L,L,S,N,Q,W,W,X,J,R,R,M,Z,Z,T,G,P,H,H,D,D,C,C,K,K,F,Z,B
139,J,P,K,K,N,B,S,S,H,L,L,J,J,Z,Z,D,D,F,F,R,R,Q,M,W,V,X,C,T,G,P,K,K,N,N,B,S,H,L,L,J,W,J
140,K,V,W,N,N,F,F,L,L,M,M,D,S,R,T,Z,Z,Q,Q,P,K,K,J,J,X,X,C,C,H,B,G,G,V,W,N,F,F,L,M,D,N,S
141,F,T,G,H,F,N,N,L,L,K,P,P,J,J,S,Z,X,X,C,B,R,D,D,M,M,W,Q,V,T,T,G,H,H,F,N,N,L,L,K,P,B,P
142,X,M,M,N,N,G,G,R,X,P,P,S,S,Z,Z,W,V,J,K,D,D,C,C,B,F,H,L,T,Q,Q,M,N,G,G,R,X,P,P,S,S,N,Z
143,Z,S,S,G,L,P,N,N,R,R,Z,J,J,C,V,W,B,B,Q,D,K,T,M,M,F,H,X,X,S,S,G,G,L,L,P,P,N,R,Z,Z,C,J
144,B,M,M,S,T,T,X,W,W,G,G,P,P,D,D,H,B,B,V,V,L,J,Z,Z,N,N,K,K,F,Q,C,R,M,S,T,T,X,W,G,P,X,D
145,G,J,N,Q,H,D,D,K,P,P,S,C,C,L,L,G,G,B,Z,Z,M,W,T,V,V,X,X,F,R,J,N,Q,Q,H,D,K,K,P,P,S,P,S
146,D,B,B,L,L,R,R,C,V,J,H,K,F,D,D,W,P,P,M,M,T,N,N,Q,G,G,Z,S,X,B,B,L,L,R,R,C,V,J,H,H,D,K
147,V,H,H,S,C,F,X,X,G,M,B,B,Q,Q,P,D,N,W,W,V,J,K,R,Z,Z,T,T,L,H,H,S,S,C,F,F,X,G,G,M,B,X,B
148,K,D,H,Q,K,N,N,T,C,F,F,Z,X,L,P,S,M,M,J,B,B,R,V,G,G,W,W,D,D,H,Q,Q,K,K,N,N,T,T,C,F,G,F
149,H,X,T,T,N,N,B,K,Z,G,S,D,D,R,C,Q,Q,L,L,W,V,V,H,H,J,J,P,F,M,X,T,T,N,N,B,K,K,Z,Z,G,N,S
150,M,Q,Q,W,T,T,S,S,L,G,B,J,J,M,M,F,C,C,V,V,D,X,Z,N,P,P,K,R,H,Q,Q,W,W,T,T,S,S,L,G,B,X,J
151,W,J,J,F,G,G,X,S,S,M,B,B,R,R,D,D,Z,C,C,L,W,N,N,H,Q,T,P,K,K,V,V,J,F,F,G,X,S,S,M,B,W,R
152,T,H,F,F,S,T,C,V,V,Q,B,B,K,K,W,J,R,G,G,Z,Z,X,P,D,D,M,M,L,L,N,N,H,F,F,S,S,T,C,V,Q,L,B
